sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,priors_count.1,jail_time
Male,69,Greater than 45,Other,0,0,0,0,(F3),Aggravated Assault w/Firearm,0,0,85080
Male,34,25 - 45,African-American,0,0,0,0,(F3),Felony Battery w/Prior Convict,1,0,6660
Male,24,Less than 25,African-American,0,0,1,4,(F3),Possession of Cocaine,1,4,7440
Male,44,25 - 45,Other,0,0,0,0,(M1),Battery,0,0,27480
Male,41,25 - 45,Caucasian,0,0,0,14,(F3),Possession Burglary Tools,1,14,25800
Male,43,25 - 45,Other,0,0,0,3,(F3),arrest case no charge,0,3,85620
Female,39,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,82380
Male,20,Less than 25,Caucasian,0,0,1,0,(F3),Possession Of Alprazolam,0,0,14340
Female,26,25 - 45,Caucasian,0,0,0,0,(F3),Possession Of Alprazolam,0,0,21840
Male,21,Less than 25,Caucasian,0,0,0,1,(F2),Insurance Fraud,1,1,85380
Male,27,25 - 45,Caucasian,0,0,0,0,(F3),"Poss 3,4 MDMA (Ecstasy)",0,0,6900
Male,23,Less than 25,African-American,0,0,0,3,(M1),Battery,1,3,15000
Female,37,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,78240
Male,22,Less than 25,Caucasian,0,0,0,0,(M1),Battery,0,0,23280
Male,41,25 - 45,African-American,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0,51780
Female,47,Greater than 45,Caucasian,0,0,0,1,(F3),arrest case no charge,1,1,22680
Male,31,25 - 45,African-American,0,0,0,7,(F3),Felony Driving While Lic Suspd,1,7,10020
Male,37,25 - 45,Hispanic,0,0,0,0,(M1),Battery,0,0,20940
Male,25,25 - 45,African-American,0,0,0,3,(F3),Grand Theft in the 3rd Degree,0,3,12540
Male,31,25 - 45,Caucasian,0,0,0,6,(F3),Driving While License Revoked,1,6,4560
Male,31,25 - 45,Caucasian,0,0,0,5,(F3),Possession Of Heroin,1,5,12000
Male,64,Greater than 45,African-American,0,0,0,13,(F3),arrest case no charge,1,13,9540
Male,21,Less than 25,African-American,0,0,0,1,(F3),Battery on Law Enforc Officer,1,1,9540
Male,27,25 - 45,Caucasian,0,0,0,0,(M1),Possession Of Methamphetamine,1,0,25020
Female,21,Less than 25,Caucasian,0,0,0,0,(F3),Introduce Contraband Into Jail,0,0,13260
Male,24,Less than 25,African-American,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1,2,5100
Male,24,Less than 25,Hispanic,0,0,0,1,(F3),Lewd/Lasc Battery Pers 12+/<16,1,1,85980
Male,42,25 - 45,Caucasian,0,0,0,1,(F1),Trafficking In Methamphetamine,0,1,64080
Male,43,25 - 45,Caucasian,0,0,0,1,(M2),Susp Drivers Lic 1st Offense,0,1,19740
Male,32,25 - 45,Other,0,0,0,0,(M1),Battery,0,0,68100
Female,54,Greater than 45,African-American,0,0,0,0,(F3),"Poss3,4 Methylenedioxymethcath",0,0,80760
Male,44,25 - 45,African-American,0,0,0,8,(M2),arrest case no charge,0,8,16440
Male,27,25 - 45,African-American,0,0,0,8,(F3),Carrying Concealed Firearm,1,8,60
Male,27,25 - 45,African-American,0,0,0,8,(F3),Carrying Concealed Firearm,1,8,60
Female,36,25 - 45,Caucasian,0,0,0,3,(F3),arrest case no charge,0,3,71160
Male,26,25 - 45,African-American,0,0,1,5,(F3),Pos Cannabis W/Intent Sel/Del,1,5,81960
Male,33,25 - 45,African-American,0,0,0,0,(F3),Tampering With Physical Evidence,1,0,68340
Male,33,25 - 45,African-American,0,0,0,0,(F3),Tampering With Physical Evidence,1,0,68340
Male,30,25 - 45,Caucasian,0,0,0,9,(F3),Felony Battery w/Prior Convict,1,9,18240
Male,32,25 - 45,African-American,0,0,0,4,(F3),Att Tamper w/Physical Evidence,1,4,6540
Male,63,Greater than 45,African-American,0,0,0,0,(M1),Battery,0,0,73200
Male,27,25 - 45,Hispanic,0,0,0,2,(F3),Possession of Cocaine,0,2,2940
Male,55,Greater than 45,Caucasian,0,0,0,0,(F3),arrest case no charge,0,0,13920
Male,32,25 - 45,African-American,0,0,0,15,(F3),Felony Petit Theft,0,15,17100
Male,38,25 - 45,African-American,0,0,2,5,(F3),Burglary Structure Assault/Batt,0,5,61740
Male,53,Greater than 45,Caucasian,0,0,0,19,(F3),Fel Drive License Perm Revoke,0,19,74700
Male,49,Greater than 45,Other,0,0,0,7,(F3),Agg Fleeing and Eluding,1,7,79620
Male,26,25 - 45,Caucasian,0,0,2,6,(M2),Operating W/O Valid License,0,6,10620
Female,33,25 - 45,Caucasian,0,0,0,4,(M1),Battery,1,4,13020
Male,24,Less than 25,Caucasian,0,0,0,1,(M1),Battery,1,1,10980
Male,34,25 - 45,African-American,2,1,3,21,(F2),Poss Wep Conv Felon,1,21,26040
Male,29,25 - 45,Caucasian,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0,0,65100
Female,21,Less than 25,African-American,0,0,0,2,(F2),arrest case no charge,0,2,64380
Male,51,Greater than 45,African-American,0,0,0,2,(M1),Unlaw Use False Name/Identity,0,2,11820
Male,29,25 - 45,Caucasian,0,0,0,2,(M1),Viol Injunct Domestic Violence,1,2,61260
Male,25,25 - 45,African-American,0,0,0,0,(F2),Burglary Unoccupied Dwelling,0,0,58860
Female,51,Greater than 45,African-American,0,0,0,7,(F3),Possession of Cocaine,0,7,57960
Male,28,25 - 45,Caucasian,0,0,0,8,(F3),Possession of Cocaine,0,8,7560
Male,36,25 - 45,African-American,0,0,0,22,(M1),Burglary Dwelling Occupied,0,22,30060
Male,29,25 - 45,African-American,0,0,0,0,(F3),Defrauding Innkeeper $300/More,1,0,16920
Male,29,25 - 45,Other,0,0,0,0,(M1),Battery,0,0,72900
Male,25,25 - 45,Caucasian,0,0,0,9,(M1),Battery,1,9,83400
Male,35,25 - 45,African-American,1,0,4,13,(F3),Uttering a Forged Instrument,1,13,78120
Male,49,Greater than 45,Caucasian,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,0,0,13680
Male,34,25 - 45,African-American,0,0,0,4,(M2),Driving License Suspended,1,4,20820
Male,29,25 - 45,African-American,0,0,0,0,(F3),Tampering With Physical Evidence,0,0,13920
Male,29,25 - 45,Caucasian,0,0,0,1,(F3),Possession of Oxycodone,1,1,8700
Female,28,25 - 45,Other,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,80400
Male,51,Greater than 45,Caucasian,0,0,0,0,(F3),Grand Theft in the 3rd Degree,0,0,80340
Male,25,25 - 45,Caucasian,0,0,0,0,(F3),Possession of Cocaine,0,0,19380
Male,48,Greater than 45,Caucasian,0,0,0,20,(F3),arrest case no charge,1,20,55620
Male,33,25 - 45,Caucasian,0,0,0,1,(F3),Grand Theft Dwell Property,0,1,78180
Female,63,Greater than 45,Hispanic,0,0,0,1,(F1),arrest case no charge,0,1,16020
Male,30,25 - 45,African-American,0,0,1,3,(F3),Possession of Cocaine,0,3,52740
Male,31,25 - 45,African-American,0,0,1,15,(F2),Attempt Armed Burglary Dwell,1,15,84060
Male,24,Less than 25,African-American,0,0,0,2,(F3),Poss Tetrahydrocannabinols,1,2,75420
Male,27,25 - 45,African-American,0,0,0,0,(F3),Felony Driving While Lic Suspd,0,0,81180
Male,32,25 - 45,Caucasian,0,0,0,3,(F3),Tampering With Physical Evidence,0,3,6240
Male,30,25 - 45,Hispanic,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,0,0,23160
Male,49,Greater than 45,African-American,0,0,0,4,(M1),Battery,0,4,78060
Male,53,Greater than 45,Caucasian,0,0,0,8,(F3),arrest case no charge,0,8,5400
Female,31,25 - 45,Hispanic,0,0,0,0,(M1),Battery,0,0,16680
Male,35,25 - 45,African-American,0,0,0,5,(F3),Driving While License Revoked,0,5,84000
Male,63,Greater than 45,African-American,0,0,0,10,(M1),Possess Drug Paraphernalia,1,10,72180
Male,33,25 - 45,African-American,0,0,0,2,(F2),Agg Battery Grt/Bod/Harm,0,2,63960
Male,27,25 - 45,African-American,1,1,2,15,(F3),Driving While License Revoked,1,15,13200
Male,38,25 - 45,Caucasian,0,0,0,4,(M1),Battery,1,4,83160
Male,46,Greater than 45,Caucasian,3,1,0,9,(F3),Grand Theft in the 3rd Degree,0,9,75840
Male,22,Less than 25,African-American,0,0,1,1,(F3),Poss Firearm W/Altered ID#,1,1,3300
Female,34,25 - 45,Caucasian,0,0,0,0,(M1),Battery,0,0,19560
Male,22,Less than 25,African-American,0,1,2,2,(F3),Sell Conterfeit Cont Substance,1,2,17580
Male,29,25 - 45,African-American,0,0,0,4,(F3),arrest case no charge,1,4,82920
Male,62,Greater than 45,Hispanic,0,0,0,0,(M2),Unlaw LicTag/Sticker Attach,0,0,76080
Male,27,25 - 45,African-American,0,1,0,6,(F2),Aggravated Battery / Pregnant,1,6,10080
Male,33,25 - 45,Other,0,0,0,0,(M1),Battery,0,0,31620
Female,56,Greater than 45,African-American,0,0,0,0,(M1),Battery,0,0,17220
Male,45,Greater than 45,Hispanic,0,0,0,6,(F3),Possession of Cocaine,1,6,83280
Male,45,Greater than 45,Hispanic,0,0,0,6,(F3),Possession of Cocaine,1,6,83280
Male,22,Less than 25,Hispanic,0,0,0,1,(F3),Burglary Structure Unoccup,0,1,4920
Female,31,25 - 45,Caucasian,0,0,0,2,(F3),Felony Driving While Lic Suspd,0,2,72960
